"T";"S";"O"
0;0.770731377572077;0
1;0.773598142556535;0
2;0.77786326957766;0
3;0.782128396598786;0
4;0.786393523619911;0
5;0.788630950417659;0
6;0.79009927413365;0
7;0.79177740365581;0
8;0.793665180520541;0
9;0.797231166139233;0
10;0.799398710489457;0
11;0.802545084495809;0
12;0.805202043674097;0
13;0.808558223486619;0
14;0.8114948709186;0
15;0.812963273866391;0
16;0.814431597582381;0
17;0.815480388917832;0
18;0.81771781571558;0
19;0.820234930767021;0
20;0.822682163370939;0
21;0.82415048708693;0
22;0.826248148989631;0
23;0.827716393473822;0
24;0.830303470204586;0
25;0.83247101455481;0
26;0.833869376591478;0
27;0.835127973733098;0
28;0.836596297449089;0
29;0.838554035993143;0
30;0.840232165515304;0
31;0.842749201334946;0
32;0.844427410088906;0
33;0.84449721330463;0
34;0.843448421969179;0
35;0.843588345327826;0
36;0.845266395618187;0
37;0.847224213394041;0
38;0.848972225363725;0
39;0.85092996390778;0
40;0.85239828762377;0
41;0.853167390705527;0
42;0.853167390705527;0
43;0.853656805533591;0
44;0.854635714421518;0
45;0.855894311563139;0
46;0.856243882264356;0
47;0.856034076458186;0
48;0.854915402675212;0
49;0.853936493787284;0
50;0.852747858324987;0
51;0.852468249303094;0
52;0.852328405176247;0
53;0.85239828762377;0
54;0.85260801419814;0
55;0.853237273153051;0
56;0.853097429026204;0
57;0.8521884818176;0
58;0.850580393206563;0
59;0.848832381236879;0
60;0.848412848856338;0
61;0.848203043050168;0
62;0.847713628222105;0
63;0.846664836886654;0
64;0.84554608387188;0
65;0.843868033581519;0
66;0.842959007141116;0
67;0.842959007141116;0
68;0.843518383648503;0
69;0.844147642603413;0
70;0.84491682491697;0
71;0.845266395618187;0
72;0.84491682491697;0
73;0.84449721330463;0
74;0.844637136663276;0
75;0.843937995260843;0
76;0.843868033581519;0
77;0.843028968820439;0
78;0.842819163014269;0
79;0.843308657074132;0
80;0.842959007141116;0
81;0.843098851267962;0
82;0.843308657074132;0
83;0.842959007141116;0
84;0.843378618753456;0
85;0.843308657074132;0
86;0.843518383648503;0
87;0.843378618753456;0
88;0.842749201334946;0
89;0.842329748186205;0
90;0.841350839298278;0
91;0.840721580343368;0
92;0.839952398029811;0
93;0.83911341250053;0
94;0.838414191866297;0
95;0.83785481535891;0
96;0.837365400530846;0
97;0.836806024023459;0
98;0.836036920941702;0
99;0.834568597225712;0
100;0.833030391062197;0
101;0.830513196778956;0
102;0.827506666899451;0
103;0.823591110579543;0
104;0.8189764128572;0
105;0.814151909328688;0
106;0.809187561673329;0
107;0.804293096465493;0
108;0.798909216429594;0
109;0.794644089408468;0
110;0.790588768193513;0
111;0.787582159082208;0
112;0.78450566752338;0
113;0.782687773106173;0
114;0.780450346308425;0
115;0.778912060913111;0
116;0.77660467243604;0
117;0.775066466272525;0
118;0.773178610175994;0
119;0.77101106582577;0
120;0.767794730140095;0
121;0.764228823753203;0
122;0.760872643940682;0
123;0.75688712594145;0
124;0.753600907808252;0
125;0.750524416249423;0
126;0.748286989451675;0
127;0.746189406780774;0
128;0.744511277258614;0
129;0.742273771229066;0
130;0.739896579536271;0
131;0.73779891763357;0
132;0.735771217410193;0
133;0.733673634739292;0
134;0.7301077283524;0
135;0.725632795525104;0
136;0.721437550951502;0
137;0.717871644564611;0
138;0.713886205797178;0
139;0.71080963500655;0
140;0.706614469664748;0
141;0.70353797810592;0
142;0.699902110039705;0
143;0.6968955801602;0
144;0.694797997489299;0
145;0.693259712093985;0
146;0.692420647332905;0
147;0.690812479490067;0
148;0.68962384402777;0
149;0.686687196595788;0
150;0.683331016783267;0
151;0.679205733888988;0
152;0.676408930583853;0
153;0.673402321472549;0
154;0.670395791593044;0
155;0.667319300034215;0
156;0.663613470288677;0
157;0.660047563901785;0
158;0.656761306152687;0
159;0.653964502847552;0
160;0.652286412941291;0
161;0.650468478908184;0
162;0.648790389001923;0
163;0.646343196013905;0
164;0.643266704455077;0
165;0.640469861534042;0
166;0.63669414934098;0
167;0.633547735718729;0
168;0.630820854477017;0
169;0.627394792216972;0
170;0.623758924150757;0
171;0.620332822274812;0
172;0.617116486589137;0
173;0.614179839157156;0
174;0.612291983060625;0
175;0.610474049027517;0
176;0.60865615461031;0
177;0.606838220577202;0
178;0.604460910036708;0
179;0.601664106731573;0
180;0.598727498915491;0
181;0.596070500121304;0
182;0.593343579263692;0
183;0.590337049384187;0
184;0.587050752019189;0
185;0.584114144203108;0
186;0.580268509946622;0
187;0.577681433215858;0
188;0.57544400641811;0
189;0.573346384131309;0
190;0.571388605971355;0
191;0.568871490919914;0
192;0.566564142058742;0
193;0.563977065327978;0
194;0.561250184086266;0
195;0.557614316020051;0
196;0.55530692754298;0
197;0.552160513920729;0
198;0.549433672294917;0
199;0.546496985247036;0
200;0.543001000923567;0
201;0.539574859431722;0
202;0.536917939869334;0
203;0.53496016170938;0
204;0.533002423165326;0
205;0.531254411195642;0
206;0.528457607890507;0
207;0.526359985603706;0
208;0.524332285380328;0
209;0.521745208649564;0
210;0.519088249471276;0
211;0.516710978546681;0
212;0.514123941431816;0
213;0.510837644066818;0
214;0.508040840761683;0
215;0.504544816822315;0
216;0.50132848113664;0
217;0.498881288148622;0
218;0.496573899671551;0
219;0.494336472873803;0
220;0.491959162333309;0
221;0.490141267916101;0
222;0.48762411324876;0
223;0.484757427496102;0
224;0.482519921466554;0
225;0.480282494668806;0
226;0.477765379617365;0
227;0.474479082252367;0
228;0.471542474436285;0
229;0.468885475642097;0
230;0.465948828210116;0
231;0.463991050050162;0
232;0.461334130487774;0
233;0.459166546521649;0
234;0.456859197660478;0
235;0.454551809183407;0
236;0.451964772068542;0
237;0.449797267334218;0
238;0.447629683368094;0
239;0.445322374122822;0
240;0.443294673899445;0
