"T";"S";"O"
0;0.00130940315741711;0
2;0.00130818288649166;0
4;0.000980818551316725;0
6;0.0103491306892485;0
8;0.000408541100223315;0
10;0.00751661605429311;0
12;0.00741446740829621;0
14;0.00553529977117802;0
16;0.00601359358780254;0
18;0.00229783131215159;0
20;0.00380124317719862;0
22;0.00322677180334007;0
24;0.00227644765753041;0
26;0.00146974116087474;0
28;0.000900615910526987;0
30;0.000533167167756761;0
32;0.00998854607147551;0
34;0.0098552411884026;0
36;0.00735809120243733;0
38;0.00489426751496455;0
40;0.00305473132398308;0
42;0.00183115114813893;0
44;0.00106745483350191;0
46;0.000609653640550196;0
48;0.0100233230156083;0
50;0.00987089578761517;0
52;0.00736505187651375;0
54;0.00489731461696209;0
56;0.00305603802428873;0
58;0.00183169605740034;0
60;0.00861276599556197;0
62;0.00907070336142206;0
64;0.00691749847215944;0
66;0.00464980916370753;0
68;0.00292042131074406;0
70;0.00175795556726564;0
72;0.00102783684920749;0
74;0.000588334497067114;0
76;0.0100119084303782;0
78;0.00986481122142866;0
80;0.00736182041256492;0
82;0.0048956046831812;0
84;0.00305513611194358;0
86;0.0115265926452545;0
88;0.00106742396142474;0
90;0.00181412975222074;0
92;0.00208099927285273;0
94;0.00162745332783902;0
96;0.0011071901192537;0
98;0.00070031335028726;0
100;0.000423502383467145;0
102;0.000248410573912723;0
104;0.00982306800707253;0
106;0.00976095077626857;0
108;0.0073051706173011;0
110;0.00486491961058608;0
112;0.0127191603117293;0
114;0.0115029162803302;0
116;0.00832311253999078;0
118;0.00544737015726037;0
120;0.0129285269355893;0
122;0.0115666713167992;0
124;0.00833452603708117;0
126;0.00544284505068204;0
128;0.00335920026762601;0
130;0.011679022360424;0
132;0.0108392085922483;0
134;0.00791944023356428;0
136;0.00447081407276661;0
138;0.00645068732721916;0
140;0.00533297061296603;0
142;0.00372028542965124;0
144;0.0023870293860376;0
146;0.00145694463825266;0
148;0.000860173815874439;0
150;0.000495924234849438;0
152;0.000280867277808516;0
154;0.000156872782089467;0
156;8.66424968726718e-05;0
158;4.74108379173667e-05;0
160;2.57367479345324e-05;0
162;1.38705707474179e-05;0
164;7.4229161337362e-06;0
166;3.94180542821181e-06;0
168;2.07260841496999e-06;0
170;1.07368903924712e-06;0
172;0.00967989680608389;0
174;0.00968017816791511;0
176;0.00726019127554037;0
178;0.00484013318774093;0
180;0.00302507190075945;0
182;0.00181502529117635;0
184;0.0107392903216958;0
186;0.0102855202199083;0
188;0.00760068448228497;0
190;0.0050292911923843;0
192;0.0128244780868163;0
194;0.0115671420149345;0
196;0.00836100933603106;0
198;0.0054692106750981;0
200;0.0130594916965588;0
202;0.00201162912474434;0
204;0.00125314928954783;0
206;0.0017560700388303;0
208;0.00144276928720908;0
210;0.00867670041962944;0
212;0.00903740628725237;0
214;0.00281222089819955;0
216;0.00507158562721198;0
218;0.00436851697342783;0
220;0.00310060713739057;0
222;0.00200846450366148;0
224;0.00123329922790017;0
226;0.000731169696067813;0
228;0.000422831436541229;0
230;0.000240025571631374;0
232;0.000134304252172099;0
234;7.42843857271626e-05;0
236;4.06948600284422e-05;0
238;2.21102970547426e-05;0
240;1.19231147284805e-05;0
242;6.38207306791906e-06;0
244;3.38782636712902e-06;0
246;1.77884023692787e-06;0
248;9.18415548751445e-07;0
250;0.00967997841655979;0
252;0.00968022107170815;0
254;0.00726021334923099;0
256;0.00484014484638035;0
258;0.00302507796325194;0
260;0.00181502840014686;0
262;0.00105874551896174;0
264;0.0102855211525994;0
266;0.0100208210715898;0
268;0.00744942731534355;0
270;0.00494420877366037;0
272;0.00308183859331448;0
274;0.00184577307170666;0
276;0.0107558468332535;0
278;0.0102943901127753;0
280;0.00760541493636554;0
282;0.00503180401779958;0
284;0.0031304369321982;0
286;0.00187247253737617;0
288;0.00108984983623023;0
290;0.000621718264879495;0
292;0.000349242368815249;0
294;0.000193799346157621;0
296;0.000106475297516054;0
298;5.80119936574969e-05;0
300;3.13797004048467e-05;0
302;1.68632362258062e-05;0
304;0.00967143418835374;0
306;0.00967566347638798;0
308;0.0072577917721002;0
310;0.0145194093750581;0
312;0.00302440160671734;0
314;0.000605356234972064;0
316;0.00136147009697537;0
318;0.00121011764008779;0
320;0.000869736636088918;0
322;0.000567193808491346;0
324;0.000349746193031362;0
326;0.000207934280584558;0
328;0.000120484272002749;0
330;6.84872376464287e-05;0
332;3.83527015493473e-05;0
334;0.00970176421651653;0
336;0.00969216247199126;0
338;0.00726670798862786;0
340;0.0145242006095122;0
342;0.0127075102219831;0
344;0.00907644609630092;0
346;0.00589955546133007;0
348;0.00363043058574484;0
350;0.00215552829117806;0
352;0.00124790725436972;0
354;0.000709011752340941;0
356;0.000397021509514249;0
358;0.000219755114991259;0
360;0.00980103240133525;0
362;6.55337374240491e-05;0
364;0.00238462988259744;0
366;0.00240102674851944;0
368;0.00180485578645641;0
370;0.00120458569340956;0
372;0.000753358309788773;0
374;0.00045219844554348;0
376;0.000263845399999892;0
378;0.000150782324403841;0
380;8.48075094164446e-05;0
382;4.70984656597885e-05;0
384;2.58831213751471e-05;0
386;1.40950384182911e-05;0
388;0.00968815734073084;0
390;0.00968461933228965;0
392;0.00726256652901055;0
394;0.00484139822784174;0
396;0.00665469548495545;0
398;0.00786505858773654;0
400;0.00620137105409063;0
402;0.00544534575111232;0
404;0.00268473678516531;0
406;0.00404608657445339;0
408;0.0033748890655142;0
410;0.00236335379835593;0
412;0.00151961821932951;0
414;0.000928766301644134;0
416;0.000548848302032641;0
418;0.00999718947584086;0
420;0.00985996449185099;0
422;0.0169226026968737;0
424;0.0144575986887465;0
426;0.0102269347796045;0
428;0.00661252198908064;0
430;0.00405577505925591;0
432;0.00240263097730297;0
434;0.00138867397756538;0
436;0.000788002765143246;0
438;0.000440820841517638;0
