"T";"S";"O"
0;0.000233765867332517;0
1;0.000233765867332517;0
2;0.000233765867332517;0
3;0.000233765867332517;0
4;0.000233765867332517;0
5;0.000233765867332517;0
6;0.000233765867332517;0
7;0.000233765867332517;0
8;0.000233765867332517;0
9;0.000233765867332517;0
10;0.000233765867332517;0
11;0.000233765867332517;0
12;0.000233765867332517;0
13;0.000233765867332517;0
14;0.000233765867332517;0
15;0.000233765867332517;0
16;0.000233765867332517;0
17;0.000233765867332517;0
18;0.000233765867332517;0
19;0.000233765867332517;0
20;0.000233765867332517;0
21;0.000233765867332517;0
22;0.000233765867332517;0
23;0.000233765867332517;0
24;0.000233765867332517;0
25;0.000233765867332517;0
26;0.000233765867332517;0
27;0.000233765867332517;0
28;0.000233765867332517;0
29;0.000233765867332517;0
30;0.000233765867332517;0
31;0.000233765867332517;0
32;0.000233765867332517;0
33;0.000233765867332517;0
34;0.000233765867332517;0
35;0.000233765867332517;0
36;0.000233765867332517;0
37;0.000233765867332517;0
38;0.000233765867332517;0
39;0.000233765867332517;0
40;0.000233765867332517;0
41;0.000233765867332517;0
42;0.000233765867332517;0
43;0.000233765867332517;0
44;0.000233765867332517;0
45;0.000233765867332517;0
46;0.000233765867332517;0
47;0.000233765867332517;0
48;0.000233765867332517;0
49;0.000233765867332517;0
50;0.000233765867332517;0
51;0.000233765867332517;0
52;0.000233765867332517;0
53;0.000233765867332517;0
54;0.000233765867332517;0
55;0.000233765867332517;0
56;0.000233765867332517;0
57;0.000233765867332517;0
58;0.000233765867332517;0
59;0.000233765867332517;0
60;0.000233765867332517;0
61;0.000233765867332517;0
62;0.000233765867332517;0
63;0.000233765867332517;0
64;0.000233765867332517;0
65;0.000233765867332517;0
66;0.000233765867332517;0
67;0.000233765867332517;0
68;0.000233765867332517;0
69;0.000233765867332517;0
70;0.000233765867332517;0
71;0.000233765867332517;0
72;0.000233765867332517;0
73;0.000233765867332517;0
74;0.000233765867332517;0
75;0.000233765867332517;0
76;0.000233765867332517;0
77;0.000233765867332517;0
78;0.000233765867332517;0
79;0.000233765867332517;0
80;0.000233765867332517;0
81;0.000233765867332517;0
82;0.000233765867332517;0
83;0.000233765867332517;0
84;0.000233765867332517;0
85;0.000233765867332517;0
86;0.000233765867332517;0
87;0.000191809333286918;0
88;0.000191809333286918;0
89;0.000191809333286918;0
90;0.000191809333286918;0
91;0.000191809333286918;0
92;0.000191809333286918;0
93;0.000191809333286918;0
94;0.000191809333286918;0
95;0.000191809333286918;0
96;0.000191809333286918;0
97;0.000191809333286918;0
98;0.000191809333286918;0
99;0.000191809333286918;0
100;0.000191809333286918;0
101;0.000191806751770257;0
102;0.000143854415243349;0
103;0.0342368366557294;0
104;0.0342728016301825;0
105;0.00861914697109416;0
106;0.0171453928765903;0
107;0.0150325610448194;0
108;0.0193189084460709;0
109;0.0187719712524782;0
110;0.023601697955053;0
111;0.0154240355222702;0
112;0.0213244604199968;0
113;0.0174684511304659;0
114;0.0121373364344096;0
115;0.00777022406073603;0
116;0.00473588995212339;0
117;0.00279333414140572;0
118;0.00160936175560293;0
119;0.000911028271360404;0
120;0.0338240524483504;0
121;0.0340518098995943;0
122;0.00873694264983755;0
123;0.0172498951247464;0
124;0.0150656600757064;0
125;0.0107531862945096;0
126;0.00698677127557278;0
127;0.00429847490641171;0
128;0.00255178229198485;0
129;0.00147716366760997;0
130;0.00083921814572267;0
131;0.000469927228809944;0
132;0.0340726174350734;0
133;0.0341900982199033;0
134;0.025671944679031;0
135;0.0171244201240449;0
136;0.0107064339542769;0
137;0.00642532933220862;0
138;0.00374872084362915;0
139;0.00214238851056676;0
140;0.00120520840188753;0
141;0.0336631277541453;0
142;0.0339644313370825;0
143;0.0255486502164422;0
144;0.0170575432000676;0
145;0.0106703806459469;0
146;0.0279267454093206;0
147;0.00373839968442276;0
148;0.0236126546274303;0
149;0.0245472548552611;0
150;0.0186440916073464;0
151;0.0125072778935209;0
152;0.00784625499167407;0
153;0.029613304123527;0
154;0.0315748690983152;0
155;0.0241715430674232;0
156;0.0180549144624062;0
157;0.0240978006382253;0
158;0.0195840720226135;0
159;0.0135596222720001;0
160;0.0086636042663365;0
161;0.00527369890280281;0
162;0.00310779804068502;0
163;0.00178937341721237;0
164;0.00101242390703088;0
165;0.000565080603836697;0
166;0.0340207654492546;0
167;0.0341620342200071;0
168;0.0256568428576833;0
169;0.0171163343026713;0
170;0.0107021235882402;0
171;0.00642304042151529;0
172;0.00374750952444501;0
173;0.00214174952129424;0
174;0.00120487224241104;0
175;0.000669434913196386;0
176;0.000368216878142966;0
177;0.0341318829233129;0
178;0.0342239366380574;0
179;0.0256909659072189;0
180;0.0171349825656006;0
181;0.0236204983485484;0
182;0.0279042431720525;0
183;0.0219991185849052;0
184;0.0150230586097881;0
185;0.00952327937250469;0
186;0.00576751512900057;0
187;0.00338669549034074;0
188;0.00194481670808036;0
189;0.00109814283548494;0
190;0.000611938709573763;0
191;0.000337403026251866;0
192;0.000184418361627978;0
193;0.000100067611444672;0
194;5.39630210274453e-05;0
195;0.034303793734521;0
196;0.0343172859163317;0
197;0.0257413374826912;0
198;0.017162016003598;0
199;0.0107266820418681;0
200;0.00643617844991153;0
201;0.00375450793943426;0
202;0.00214546342918443;0
203;0.00120683654655392;0
204;0.0336622705883756;0
205;0.0339639798528221;0
206;0.0255484130236243;0
207;0.0170574188783148;0
208;0.0106703160313516;0
209;0.00640596172071582;0
210;0.00373838291734425;0
211;0.00213689258939335;0
212;0.00120229696228534;0
213;0.000668073866045909;0
214;0.000367499651023913;0
215;0.0341322591601966;0
216;0.000108606182277495;0
217;0.00864167047392525;0
218;0.00861451925742512;0
219;0.00645410163893357;0
220;0.0300322684306733;0
221;0.00268694641482344;0
222;0.0101950127045957;0
223;0.0248094641543607;0
224;0.0273582171260433;0
225;0.0131768887588443;0
226;0.0200164434493185;0
227;0.0167222212595972;0
228;0.0117181103972573;0
229;0.0075375550823478;0
230;0.00460802748302323;0
231;0.00272363891690262;0
232;0.00157163214837486;0
233;0.000890722419138975;0
234;0.000497814407594598;0
235;0.000275133828359193;0
236;0.000150680239230097;0
237;8.18967885199587e-05;0
238;4.42267318971486e-05;0
239;2.37525363543998e-05;0
240;1.26958541686169e-05;0
241;6.75772046915294e-06;0
242;3.58375691676639e-06;0
243;1.89432698892998e-06;0
244;0.0343317432275395;0
245;5.23445993232544e-07;0
246;0.00858345844895997;0
247;0.00858332758395696;0
248;0.0407702032270289;0
249;0.00429163107570726;0
250;0.0059009193220252;1
251;0.00697382709096225;1
252;0.0288341437104626;1
253;0.030577599256354;1
254;0.0233690641466344;1
255;0.0157246651504419;1
256;0.0442661570905199;1
257;0.0403349920297586;1
258;0.0636012944328179;1
259;0.0878501868961254;1
260;0.0719498665595358;1
261;0.0843199594883453;1
262;0.0663324928484511;1
263;0.0795851393575806;1
264;0.0973348570032508;1
265;0.111771210180884;1
266;0.0874374975658736;1
267;0.0938273346734935;1
268;0.106300804411433;1
269;0.0828439723788621;1
270;0.124934044038446;1
271;0.104223054215345;1
272;0.107373504841131;1
273;0.081317739651472;1
274;0.0888069998224051;1
275;0.0684775665453394;1
276;0.0806086607191462;1
277;0.0978219103714647;1
278;0.0776697468274805;1
279;0.0875469072516426;1
280;0.0681294721805748;1
281;0.08057538174888;1
282;0.0978758594689569;1
283;0.0777320123959141;1
284;0.0875956871815158;1
285;0.0681626857183395;1
286;0.080596405211614;1
287;0.0978885795472497;1
288;0.112072121168812;1
289;0.0875999795536146;1
290;0.0939145889142524;1
291;0.106398554025434;1
292;0.117252543178086;1
293;0.124985748801136;1
294;0.130005259202705;1
295;0.133091461655262;1
296;0.134922786507427;1
297;0.135982766858832;1
298;0.136584706613191;1
299;0.17125449704493;1
300;0.171440966587723;1
301;0.197343940343114;1
