"T";"S";"O"
0;0.00179738232334116;0
1;0.00147058593174273;0
2;0.0016339848507252;0
3;0.00212418739313873;0
4;0.00147058593174273;0
5;0.00196078124232364;0
6;0.00326797548691651;0
7;0.00179738232334116;0
8;0.00212418739313873;0
9;0.00212418739313873;0
10;0.0027777801763356;0
11;0.0016339848507252;0
12;0.0016339848507252;0
13;0.00245098378473717;0
14;0.00228758486575469;0
15;0.00212418739313873;0
16;0.00147058593174273;0
17;0.0011437895401443;0
18;0.00081699170217934;0
19;0.00212418739313873;0
20;0.00179738232334116;0
21;0.00245098378473717;0
22;0.0027777801763356;0
23;0.00130718701276025;0
24;0.00196078124232364;0
25;0.00130718701276025;0
26;0.00212418739313873;0
27;0.00228758486575469;0
28;0.00228758486575469;0
29;0.0016339848507252;0
30;0.00130718701276025;0
31;0.00147058593174273;0
32;0.000653594229563387;0
33;0.00147058593174273;0
34;0.00081699170217934;0
35;0.00130718701276025;0
36;0.0016339848507252;0
37;0.000653594229563387;0
38;0.000326797837964955;0
39;0.000490195310580909;0
40;0.0011437895401443;0
41;0.0016339848507252;0
42;0.000980390621161818;0
43;0.0011437895401443;0
44;0.000980390621161818;0
45;0.0011437895401443;0
46;0.00179738232334116;0
47;0.00130718701276025;0
48;0.00130718701276025;0
49;0.00147058593174273;0
50;0.0016339848507252;0
51;0.00212418739313873;0
52;0.0016339848507252;0
53;0.0016339848507252;0
54;0.00212418739313873;0
55;0.00212418739313873;0
56;0.00228758486575469;0
57;0.00196078124232364;0
58;0.0016339848507252;0
59;0.00212418739313873;0
60;0.00179738232334116;0
61;0.0016339848507252;0
62;0.00147058593174273;0
63;0.00130718701276025;0
64;0.00212418739313873;0
65;0.0011437895401443;0
66;0.000980390621161818;0
67;0.000490195310580909;0
68;0.000980390621161818;0
69;0.00081699170217934;0
70;0.0011437895401443;0
71;0.000490195310580909;0
72;0.0011437895401443;0
73;0.0011437895401443;0
74;0.0011437895401443;0
75;0.00081699170217934;0
76;0.000163398918982478;0
77;0.000490195310580909;0
78;0.000980390621161818;0
79;0.0011437895401443;0
80;0.00212418739313873;0
81;0.00179738232334116;0
82;0.0016339848507252;0
83;0.0011437895401443;0
84;0.00147058593174273;0
85;0.00147058593174273;0
86;0.00130718701276025;0
87;0.00196078124232364;0
88;0.0011437895401443;0
89;0.00130718701276025;0
90;0.0016339848507252;0
91;0.00081699170217934;0
92;0.00147058593174273;0
93;0.00196078124232364;0
94;0.00147058593174273;0
95;0.00147058593174273;0
96;0.00196078124232364;0
97;0.00196078124232364;0
98;0.00130718701276025;0
99;0.0011437895401443;0
100;0.000980390621161818;0
101;0.00147058593174273;0
102;0.0016339848507252;0
103;0.0016339848507252;0
104;0.0011437895401443;0
105;0.000490195310580909;0
106;0.00081699170217934;0
107;0;0
108;0.000653594229563387;0
109;0.00147058593174273;0
110;0.000980390621161818;0
111;0.00130718701276025;0
112;0.00147058593174273;0
113;0.000490195310580909;0
114;0.0011437895401443;0
115;0.00130718701276025;0
116;0.0016339848507252;0
117;0.00130718701276025;0
118;0.0011437895401443;0
119;0.00179738232334116;0
120;0.0016339848507252;0
121;0.00147058593174273;0
122;0.0016339848507252;0
123;0.00130718701276025;0
124;0.00179738232334116;0
125;0.00130718701276025;0
126;0.000980390621161818;0
127;0.00147058593174273;0
128;0.0016339848507252;0
129;0.0011437895401443;0
130;0.0011437895401443;0
131;0.0011437895401443;0
132;0.000980390621161818;0
133;0.000980390621161818;0
134;0.00147058593174273;0
135;0.000490195310580909;0
136;0.00081699170217934;0
137;0.000653594229563387;0
138;0.00081699170217934;0
139;0.0011437895401443;0
140;0.0011437895401443;0
141;0.00130718701276025;0
142;0.0016339848507252;0
143;0.00147058593174273;0
144;0.0011437895401443;0
145;0.0016339848507252;0
146;0.0016339848507252;0
147;0.0011437895401443;0
148;0.000980390621161818;0
149;0.000326797837964955;0
150;0.00147058593174273;0
151;0.000980390621161818;0
152;0.00179738232334116;0
153;0.00179738232334116;0
154;0.00147058593174273;0
155;0.00179738232334116;0
156;0.00228758486575469;0
157;0.00228758486575469;0
158;0.000980390621161818;0
159;0.00147058593174273;0
160;0.0011437895401443;0
161;0.00130718701276025;0
162;0.0011437895401443;0
163;0.00147058593174273;0
164;0.00130718701276025;0
165;0.0011437895401443;0
166;0.0016339848507252;0
167;0.0016339848507252;0
168;0.00130718701276025;0
169;0.00130718701276025;0
170;0.00147058593174273;0
171;0.00081699170217934;0
172;0.0011437895401443;0
173;0.000653594229563387;0
174;0.000490195310580909;0
175;0.000490195310580909;0
176;0.000653594229563387;0
177;0.00147058593174273;0
178;0.000653594229563387;0
179;0.00130718701276025;0
180;0.000490195310580909;0
181;0.0011437895401443;0
182;0.0011437895401443;0
183;0.00147058593174273;0
184;0.0016339848507252;0
185;0.00179738232334116;0
186;0.00147058593174273;0
187;0.000653594229563387;0
188;0.0011437895401443;0
189;0.000980390621161818;0
190;0.00179738232334116;0
191;0.00196078124232364;0
192;0.0016339848507252;0
193;0.00130718701276025;0
194;0.000490195310580909;0
195;0.000653594229563387;0
196;0.000653594229563387;0
197;0.00081699170217934;0
198;0.00130718701276025;0
199;0.00130718701276025;0
200;0.000653594229563387;0
201;0.000980390621161818;0
202;0.000653594229563387;0
203;0.00147058593174273;0
204;0.00081699170217934;0
205;0.000490195310580909;0
206;0.000490195310580909;0
207;0.000980390621161818;0
208;0.000980390621161818;0
209;0.000490195310580909;0
210;0.000326797837964955;0
211;0.000163398918982478;0
212;0.0011437895401443;0
213;0.000653594229563387;0
214;0.000490195310580909;0
215;0.000653594229563387;0
216;0.000980390621161818;0
217;0.00147058593174273;0
218;0.0011437895401443;0
219;0.000980390621161818;0
220;0.0016339848507252;0
221;0.00130718701276025;0
222;0.000653594229563387;0
223;0.00081699170217934;0
224;0.00147058593174273;0
225;0.00179738232334116;0
226;0.000980390621161818;0
227;0.000653594229563387;0
228;0.000980390621161818;0
229;0.00130718701276025;0
230;0.0011437895401443;0
231;0.0011437895401443;0
232;0.0011437895401443;0
233;0.00081699170217934;0
234;0.000490195310580909;0
235;0.000163398918982478;0
236;0.00081699170217934;0
237;0.0016339848507252;0
238;0.00375817079749742;0
239;0.00555555167447205;0
240;0.00849673076979012;0
241;0.0111111105807767;0
242;0.0160130694720519;0
243;0.0197712475013819;0
244;0.0267973923394293;0
245;0.0328431320926497;0
246;0.0400326758496796;0
247;0.048039222879821;0
248;0.0555555615820827;0
249;0.0640522937982394;0
250;0.0723856270954136;0
251;0.081535949202034;0
252;0.0900326756327246;0
253;0.0988562172577784;0
254;0.108660140825795;0
255;0.118137254984914;0
256;0.127450976010517;0
257;0.136764720177984;0
258;0.14836601449841;0
259;0.158006533361978;0
260;0.169444446119819;0
261;0.181209156715625;0
262;0.192810451036051;0
263;0.205882364554649;0
264;0.217810445142107;0
265;0.230228762984775;0
266;0.243790867474855;0
267;0.25669935314714;0
268;0.269444457256841;0
269;0.282189561366542;0
270;0.295098047038828;0
271;0.306862746063702;0
272;0.318464063525991;0
273;0.329901976283833;0
274;0.341993484717604;0
275;0.352941183362099;0
276;0.364052309852908;0
277;0.375163413201852;0
278;0.386437944397109;0
279;0.397058810490843;0
280;0.409313769912791;0
281;0.418790872500979;0
282;0.428267975089166;0
283;0.439215696875526;0
284;0.450163418661886;0
285;0.460457521630451;0
286;0.46960786109347;0
287;0.478921582119073;0
288;0.487745158456923;0
289;0.497058879482526;0
290;0.505718981690335;0
291;0.513398701955181;0
292;0.521895422600405;0
293;0.529411761302667;0
294;0.53611109962455;0
295;0.542973865792747;0
296;0.549673250398359;0
297;0.557843161634686;0
298;0.564705881519153;0
299;0.569117692829943;0
300;0.57679736681106;0
301;0.582679797320023;0
302;0.588398707415214;0
303;0.594117663794135;0
304;0.597058855906752;0
305;0.600163383298224;0
