"T";"S";"O"
0;0.00670505008505466;0
1;0.00641352392732123;0
2;0.00677793162448802;0
3;0.0066321685456213;0
4;0.00641352392732123;0
5;0.00641352392732123;0
6;0.0066321685456213;0
7;0.00634064238788787;0
8;0.00655928700618795;0
9;0.00641352392732123;0
10;0.00634064238788787;0
11;0.00612200292386923;0
12;0.00626776600273594;0
13;0.00583047676613579;0
14;0.00634064238788787;0
15;0.00648641062103602;0
16;0.00619487930902115;0
17;0.00583047676613579;0
18;0.00575759522670244;0
19;0.00597623984500251;0
20;0.00583047676613579;0
21;0.00612200292386923;0
22;0.00604912138443587;0
23;0.00612200292386923;0
24;0.00590335830556915;0
25;0.00568471884155051;0
26;0.00575759522670244;0
27;0.00604912138443587;0
28;0.00583047676613579;0
29;0.00597623984500251;0
30;0.00568471884155051;0
31;0.00590335830556915;0
32;0.00590335830556915;0
33;0.00597623984500251;0
34;0.00583047676613579;0
35;0.00575759522670244;0
36;0.00553895576268379;0
37;0.00553895576268379;0
38;0.00524742960495036;0
39;0.00575759522670244;0
40;0.00561183214783572;0
41;0.00532031114438372;0
42;0.00524742960495036;0
43;0.00546607422325043;0
44;0.00532031114438372;0
45;0.005174548065517;0
46;0.00524742960495036;0
47;0.00532031114438372;0
48;0.005174548065517;0
49;0.00524742960495036;0
50;0.00524742960495036;0
51;0.00502878498665028;0
52;0.00524742960495036;0
53;0.00524742960495036;0
54;0.00510167168036507;0
55;0.00481014036835021;0
56;0.00502878498665028;0
57;0.00495590860149835;0
58;0.00481014036835021;0
59;0.00524742960495036;0
60;0.00473726398319828;0
61;0.004883027062065;0
62;0.00524742960495036;0
63;0.00466438244376492;0
64;0.005174548065517;0
65;0.004883027062065;0
66;0.00502878498665028;0
67;0.00466438244376492;0
68;0.004883027062065;0
69;0.00502878498665028;0
70;0.00495590860149835;0
71;0.00466438244376492;0
72;0.00429997990087956;0
73;0.00502878498665028;0
74;0.004883027062065;0
75;0.00437286144031292;0
76;0.00437286144031292;0
77;0.00444573782546485;0
78;0.00466438244376492;0
79;0.00437286144031292;0
80;0.00415421682201284;0
81;0.00437286144031292;0
82;0.00444573782546485;0
83;0.00437286144031292;0
84;0.00437286144031292;0
85;0.00437286144031292;0
86;0.00466438244376492;0
87;0.00444573782546485;0
88;0.00408133528257949;0
89;0.00400845374314613;0
90;0.0045186193648982;0
91;0.00415421682201284;0
92;0.00415421682201284;0
93;0.00400845374314613;0
94;0.00393557220371277;0
95;0.00408133528257949;0
96;0.00408133528257949;0
97;0.00400845374314613;0
98;0.00400845374314613;0
99;0.00400845374314613;0
100;0.00408133528257949;0
101;0.00357116966082741;0
102;0.00422709320716477;0
103;0.00422709320716477;0
104;0.00437286144031292;0
105;0.00371693273969412;0
106;0.00415421682201284;0
107;0.00342540142767926;0
108;0.00364404604597933;0
109;0.00335252504252733;0
110;0.00393557220371277;0
111;0.00378981427912748;0
112;0.00349828812139405;0
113;0.00364404604597933;0
114;0.00342540142767926;0
115;0.00357116966082741;0
116;0.00378981427912748;0
117;0.00349828812139405;0
118;0.00342540142767926;0
119;0.00342540142767926;0
120;0.00371693273969412;0
121;0.00349828812139405;0
122;0.00342540142767926;0
123;0.00349828812139405;0
124;0.00342540142767926;0
125;0.00349828812139405;0
126;0.00327964350309397;0
127;0.00342540142767926;0
128;0.00371693273969412;0
129;0.00371693273969412;0
130;0.00313388042422726;0
131;0.00357116966082741;0
132;0.00291524096020861;0
133;0.00320676711794205;0
134;0.00291524096020861;0
135;0.00313388042422726;0
136;0.0030609988847939;0
137;0.00291524096020861;0
138;0.00262371995675661;0
139;0.00284235426649382;0
140;0.00255083326304182;0
141;0.00298812249964197;0
142;0.0027694778813419;0
143;0.00262371995675661;0
144;0.00262371995675661;0
145;0.00269659634190854;0
146;0.00262371995675661;0
147;0.00255083326304182;0
148;0.00255083326304182;0
149;0.00225930710530839;0
150;0.00233219379902318;0
151;0.00225930710530839;0
152;0.00240507533845653;0
153;0.00189490456242303;0
154;0.00204066248700831;0
155;0.00196778610185638;0
156;0.00233219379902318;0
157;0.00247795172360846;0
158;0.00204066248700831;0
159;0.00196778610185638;0
160;0.00174914148355631;0
161;0.00204066248700831;0
162;0.00218643072015646;0
163;0.00189490456242303;0
164;0.00196778610185638;0
165;0.00189490456242303;0
166;0.00218643072015646;0
167;0.00174914148355631;0
168;0.0021135491807231;0
169;0.0018220281772711;0
170;0.0018220281772711;0
171;0.00174914148355631;0
172;0.00167625994412295;0
173;0.00196778610185638;0
174;0.00218643072015646;0
175;0.00189490456242303;0
176;0.00167625994412295;0
177;0.00167625994412295;0
178;0.00167625994412295;0
179;0.00145761532582288;0
180;0.00153050201953766;0
181;0.00153050201953766;0
182;0.00160338355897102;0
183;0.00145761532582288;0
184;0.00138473894067095;0
185;0.00138473894067095;0
186;0.00116609432237087;0
187;0.00145761532582288;0
188;0.00116609432237087;0
189;0.00116609432237087;0
190;0.00109321278293751;0
191;0.00102033639778559;0
192;0.000655923546337364;0
193;0.00109321278293751;0
194;0.00102033639778559;0
195;0.00102033639778559;0
196;0.000874568164637439;0
197;0.000801691779485512;0
198;0.000947454858352228;0
199;0.00131185740123759;0
200;0.000874568164637439;0
201;0.000801691779485512;0
202;0.000728810240052153;0
203;0.000874568164637439;0
204;0.000874568164637439;0
205;0.000510165621752078;0
206;0.000728810240052153;0
207;0.000655923546337364;0
208;0.000874568164637439;0
209;0.00043728923660015;0
210;0.000655923546337364;0
211;0.000583047161185436;0
212;0.000291521003452003;0
213;7.28763851519275e-05;0
214;0.000728810240052153;0
215;0.000655923546337364;0
216;0.000583047161185436;0
217;0;0
218;0.000510165621752078;0
219;0.000728810240052153;0
220;0.000583047161185436;0
221;0.000583047161185436;0
222;0.000364402542885361;0
223;7.28763851519275e-05;0
224;0.000291521003452003;0
225;0.000583047161185436;0
226;0.000510165621752078;0
