"T";"S";"O"
0;0.000671656627449479;1
2;0.000676455670805287;1
4;0.000491381994791086;1
6;0.0622985579941187;1
8;0.18592393234596;1
10;0.273686182623549;1
12;0.268517019789154;1
14;0.220489653921612;1
16;0.15334324110601;1
18;0.057127868756996;1
20;0.0431129200679663;1
22;0.160481304181205;1
24;0.232375496448862;1
26;0.233566976553021;1
28;0.196120435291829;1
30;0.137711526648726;1
32;0.0473352917918468;1
34;0.0903265340957023;1
36;0.246607393421109;1
38;0.285748911998971;1
40;0.286104995209005;1
42;0.235315105867253;1
44;0.143107217602583;1
46;0.0429006737688012;1
48;0.0958569168171347;1
50;0.189257181117998;1
52;0.247712216987853;1
54;0.241709737812614;1
56;0.200429005632307;1
58;0.119319936694136;1
60;0.00720207500341973;1
62;0.146273165999228;1
64;0.271856224850093;1
66;0.297295883166065;1
68;0.270643630614302;1
70;0.23763147509748;1
72;0.149288923004086;1
74;0.0485349281957941;1
76;0.112432571993755;1
78;0.207273053677914;1
80;0.220476725954169;1
82;0.189305790408314;1
84;0.134169456028858;1
86;0.0454968790745905;1
88;0.091279430817125;1
90;0.247100680326684;1
92;0.286003953985023;1
94;0.265572257102427;1
96;0.214718590672827;1
98;0.12764389523047;1
100;0.0532826047815782;1
102;0.0609446686398253;1
104;0.177636544428001;1
106;0.224123501164564;1
108;0.221057807562671;1
110;0.18567426595212;1
112;0.0890320450353501;1
114;0.00126735284522464;1
116;0.165300416414604;1
118;0.289399801860195;1
120;0.310051002091442;1
122;0.278791336091423;1
124;0.221925912612619;1
126;0.111103476728972;1
128;0.00625133216897532;1
130;0.137145261101475;1
132;0.259583814195741;1
134;0.266609315024633;1
136;0.22210752467271;1
138;0.155438052980438;1
140;0.0588182038184162;1
142;0.083275253652061;1
144;0.221762351923906;1
146;0.283584307018992;1
148;0.269234030878746;1
150;0.218985274531521;1
152;0.130995135645084;1
154;0.0144597234365945;1
156;0.121491360712383;1
158;0.24888884121156;1
160;0.280523935917042;1
162;0.280024868590706;1
164;0.230541214973769;1
166;0.139853348408874;1
168;0.0411250891150877;1
170;0.138401158718973;1
172;0.272464994076753;1
174;0.299840993799707;1
176;0.272815038041216;1
178;0.218502128249279;1
180;0.129616727617424;1
182;0.00732510206772185;1
184;0.143100504748852;1
186;0.244321323285009;1
188;0.270554136958775;1
190;0.230121135670279;1
192;0.141800958649901;1
194;0.063589031951646;1
196;0.0750951552544635;1
198;0.25610392457739;1
200;0.319749366825678;1
202;0.317699706607562;1
204;0.258409691945199;1
206;0.158303130808291;1
208;0.0523545817880692;1
210;0.0902019862697269;1
212;0.206630205851245;1
214;0.266498982653618;1
216;0.2561532240672;1
218;0.189511327172015;1
220;0.125455863286901;1
222;0.0367319096078086;1
224;0.118277330629844;1
226;0.251242852860337;1
228;0.283649809605573;1
230;0.241486451639814;1
232;0.170556839710973;1
234;0.0688391007670973;1
236;0.0356734389099584;1
238;0.156001272358769;1
240;0.250166652662988;1
242;0.27314261733946;1
244;0.25194441409972;1
246;0.183641595260008;1
248;0.0999422109396127;1
250;0.0285060058553392;1
252;0.197938593308554;1
254;0.29389582109206;1
256;0.285722996335283;1
258;0.253560828131694;1
260;0.161448452858522;1
262;0.056712119791677;1
264;0.0455233256609662;1
266;0.162819404740688;1
268;0.233857832592618;1
270;0.234464800000407;1
272;0.175983178176971;1
274;0.117349825285956;1
