"T";"S";"O"
0;5.91601536431505e-05;0
1;5.91601536431505e-05;0
2;5.91601536431505e-05;0
3;5.91601536431505e-05;0
4;5.91601536431505e-05;0
5;5.91601536431505e-05;0
6;5.91601536431505e-05;0
7;5.91601536431505e-05;0
8;5.91601536431505e-05;0
9;5.91601536431505e-05;0
10;5.91601536431505e-05;0
11;5.91601536431505e-05;0
12;5.91601536431505e-05;0
13;5.91601536431505e-05;0
14;5.91601536431505e-05;0
15;5.91601536431505e-05;0
16;5.91601536431505e-05;0
17;5.91601536431505e-05;0
18;5.91601536431505e-05;0
19;5.91601536431505e-05;0
20;5.91601536431505e-05;0
21;5.91601536431505e-05;0
22;5.91601536431505e-05;0
23;5.91601536431505e-05;0
24;5.91601536431505e-05;0
25;5.91601536431505e-05;0
26;5.91601536431505e-05;0
27;5.91601536431505e-05;0
28;5.91601536431505e-05;0
29;5.91601536431505e-05;0
30;5.91601536431505e-05;0
31;5.91601536431505e-05;0
32;5.91601536431505e-05;0
33;5.91601536431505e-05;0
34;5.91601536431505e-05;0
35;5.91601536431505e-05;0
36;5.91601536431505e-05;0
37;5.91601536431505e-05;0
38;5.91601536431505e-05;0
39;5.91601536431505e-05;0
40;5.91601536431505e-05;0
41;5.91601536431505e-05;0
42;5.91601536431505e-05;0
43;5.91601536431505e-05;0
44;5.91601536431505e-05;0
45;5.91601536431505e-05;0
46;5.91601536431505e-05;0
47;5.91601536431505e-05;0
48;5.91601536431505e-05;0
49;5.91601536431505e-05;0
50;5.91601536431505e-05;0
51;5.91601536431505e-05;0
52;5.91601536431505e-05;0
53;5.91601536431505e-05;0
54;5.91601536431505e-05;0
55;5.91601536431505e-05;0
56;5.91601536431505e-05;0
57;5.91601536431505e-05;0
58;5.91601536431505e-05;0
59;5.91601536431505e-05;0
60;5.91601536431505e-05;0
61;5.91601536431505e-05;0
62;5.91601536431505e-05;0
63;5.91601536431505e-05;0
64;5.91601536431505e-05;0
65;5.91601536431505e-05;0
66;5.91601536431505e-05;0
67;5.91601536431505e-05;0
68;5.91601536431505e-05;0
69;5.91601536431505e-05;0
70;5.91601536431505e-05;0
71;5.91601536431505e-05;0
72;5.91601536431505e-05;0
73;5.91601536431505e-05;0
74;5.91601536431505e-05;0
75;5.91601536431505e-05;0
76;5.91601536431505e-05;0
77;5.91601536431505e-05;0
78;5.91601536431505e-05;0
79;5.91601536431505e-05;0
80;5.91601536431505e-05;0
81;5.91601536431505e-05;0
82;5.91601536431505e-05;0
83;5.91601536431505e-05;0
84;5.91601536431505e-05;0
85;5.91601536431505e-05;0
86;5.91601536431505e-05;0
87;5.91601536431505e-05;0
88;5.91601536431505e-05;0
89;5.91601536431505e-05;0
90;5.91601536431505e-05;0
91;5.91601536431505e-05;0
92;5.91601536431505e-05;0
93;5.91601536431505e-05;0
94;5.91601536431505e-05;0
95;5.91601536431505e-05;0
96;5.91601536431505e-05;0
97;5.91601536431505e-05;0
98;5.91601536431505e-05;0
99;5.91601536431505e-05;0
100;3.38520260504414e-05;0
101;3.38520260504414e-05;0
102;2.53890195378311e-05;0
103;1.69260130252207e-05;0
104;0.0108360952564238;0
