"T";"S";"O"
0;0;0
1;0;0
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;0
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;0;0
18;0;0
19;0;0
20;0;0
21;0;0
22;0;0
23;0;0
24;0;0
25;0;0
26;0;0
27;0;0
28;0;0
29;0;0
30;0;0
31;0;0
32;0;0
33;0;0
34;0;0
35;0;0
36;0;0
37;0;0
38;0;0
39;0;0
40;0;0
41;0;0
42;0;0
43;0;0
44;0;0
45;0;0
46;0;0
47;0;0
48;0;0
49;0;0
50;0;0
51;0;0
52;0;0
53;0;0
54;0;0
55;0;0
56;0;0
57;0;0
58;0;0
59;0;0
60;0;0
61;0;0
62;0;0
63;0;0
64;0;0
65;0;0
66;0;0
67;0;0
68;0;0
69;0;0
70;0;0
71;0;0
72;0;0
73;0;0
74;0;0
75;0;0
76;0;0
77;0;0
78;0;0
79;0;0
80;0;0
81;0;0
82;0;0
83;0;0
84;0;0
85;0;0
86;0;0
87;0;0
88;0.000184040288717927;0
89;0.000184040288717927;0
90;0.000184040288717927;0
91;0.000184040288717927;0
92;0.000184040288717927;0
93;0.000184040288717927;0
94;0.000184040288717927;0
95;0.000184040288717927;0
96;0.000184040288717927;0
97;0.000184040288717927;0
98;0.000184040288717927;0
99;0.000184040288717927;0
100;0.000184040288717927;0
101;0.000191635476727333;0
102;0.00023780916584821;0
103;0.000299374207823617;0
104;0.000360938880356312;0
105;0.000415663690505751;0
106;0.000392007165282302;0
107;0.000405403527488156;0
108;0.000410692099920709;0
109;0.000481050247901509;0
110;0.000572510224747314;0
111;0.000801706572633939;0
112;0.00122825958709704;0
113;0.00185673872032888;0
114;0.00266673817353519;0
115;0.00362902006571015;0
116;0.00480601596671185;0
117;0.00622470295286564;0
118;0.00805490977533799;0
119;0.0105803446453853;0
120;0.0131341655723758;0
121;0.01567079802938;0
122;0.0180564634481942;0
123;0.0203869978545963;0
124;0.0228727277557568;0
125;0.0253128477373761;0
126;0.0276000934328009;0
127;0.0295883417519691;0
128;0.0314998272642888;0
129;0.0334649336919324;0
130;0.035697260804505;0
131;0.0381697016665677;0
132;0.0407973574191313;0
133;0.043640682744098;0
134;0.0468872769565589;0
135;0.050483362128037;0
136;0.0543662031914859;0
137;0.0582913657648902;0
138;0.0622840292163351;0
139;0.066578749029698;0
140;0.0712231260512989;0
141;0.0761994602807715;0
142;0.0815091870030549;0
143;0.0870697099108666;0
144;0.09304733548855;0
145;0.0994696204680469;0
146;0.106391759590637;0
147;0.113667305765;0
148;0.121492037767885;0
149;0.129822688315992;0
150;0.138722323127597;0
151;0.148294269787806;0
152;0.1583019925998;0
153;0.168868977790307;0
154;0.179664721908528;0
155;0.190932530688992;0
156;0.202612619064713;0
157;0.21486346872338;0
158;0.227599773495412;0
159;0.240845100131453;0
160;0.254784229098697;0
161;0.269422232845588;0
162;0.284937589146642;0
163;0.301242961744571;0
164;0.318350246694725;0
165;0.336244851009951;0
166;0.355156069309899;0
167;0.374841953562008;0
168;0.395593735456714;0
169;0.417399352689448;0
170;0.440020865681083;0
171;0.463377329533263;0
172;0.487628158776525;0
173;0.512329227853776;0
174;0.536494401804095;0
175;0.559560243546316;0
176;0.58158316698267;0
177;0.602427050945657;0
178;0.621885432375274;0
179;0.640320549851343;0
180;0.658422633194031;0
181;0.676420164249021;0
182;0.694518497748175;0
183;0.713144081414785;0
184;0.732474044557462;0
185;0.75260115424137;0
186;0.773201021292607;0
187;0.794284784408962;0
188;0.815734351227314;0
189;0.836971710151481;0
190;0.857394226228478;0
191;0.876501341526844;0
192;0.893893540697045;0
193;0.909329891673984;0
194;0.922458888188645;0
195;0.933819251604713;0
196;0.943269817861658;0
197;0.951675747904122;0
198;0.95900663659685;0
199;0.965576177747209;0
200;0.971539057019014;0
201;0.977147012676712;0
202;0.982435769830621;0
203;0.987318250833355;0
204;0.991662416859388;0
205;0.995146132335366;0
206;0.99792964303793;0
207;0.999584561669549;0
208;1;0
209;0.999056701921618;0
210;0.996944653349418;0
211;0.99369361289391;0
212;0.989582084944075;0
213;0.984667517841742;0
214;0.979134060307064;0
215;0.973063119041788;0
216;0.96671219561668;0
217;0.960319081833779;0
218;0.95397116936678;0
219;0.947840710880485;0
220;0.941864790280921;0
221;0.936067439816549;0
222;0.93037026374373;0
223;0.92447334846828;0
224;0.918288692736031;0
225;0.911416596476092;0
226;0.903848248479765;0
227;0.895495425827253;0
228;0.886498442860847;0
229;0.876691105776231;0
230;0.866389749896168;0
231;0.855928314488685;0
232;0.845611589791774;0
233;0.835558905801642;0
234;0.825955630399395;0
235;0.81699572100921;0
236;0.808532434985596;0
237;0.800583727244391;0
238;0.792915832909122;0
239;0.785485933569386;0
240;0.777833038608254;0
241;0.769823151153823;0
242;0.7612980204201;0
243;0.752313598505926;0
244;0.742853648404078;0
245;0.733032863604719;0
246;0.723011693077981;0
247;0.713206886675947;0
248;0.7038258310654;0
249;0.694798110465296;0
250;0.686191776223318;0
251;0.678036365284347;0
252;0.670341095244066;0
253;0.662989647064375;0
254;0.655892190749679;0
255;0.649003561928345;0
256;0.642188322901893;0
257;0.635377905102843;0
258;0.628356701764051;0
259;0.621075466171912;0
260;0.613425674529567;0
261;0.605423138985119;0
262;0.597229490725382;0
263;0.589238038462315;0
264;0.58160102953783;0
265;0.574508357506263;0
266;0.567799314787581;0
267;0.561452104261736;0
268;0.555578482349323;0
269;0.550060061133053;0
270;0.544897080750688;0
271;0.539911673008191;0
272;0.53505122926327;0
273;0.530232292407124;0
274;0.525343881848851;0
275;0.520182822568592;0
276;0.514804549445392;0
277;0.50918848452015;0
278;0.503259704810728;0
279;0.49713493574221;0
280;0.491072639436412;0
281;0.485157566051633;0
282;0.479526557168662;0
283;0.474324212665257;0
284;0.469567268296304;0
285;0.465236660817828;0
286;0.461368965058387;0
287;0.457975098050142;0
288;0.454776499987704;0
289;0.451789186212669;0
290;0.448696729041595;0
291;0.445323957212246;0
292;0.441416417056238;0
293;0.437128221601182;0
294;0.432547021130669;0
295;0.427813647206788;0
296;0.423261558822038;0
297;0.418949478895604;0
298;0.415038521394504;0
299;0.411486440544538;0
300;0.40835001969065;0
301;0.405654473297984;0
302;0.403292773812665;0
303;0.401272587170982;0
304;0.399397813181025;0
305;0.397588171941321;0
306;0.395662267079923;0
307;0.393506180936368;0
308;0.391002560032958;0
309;0.388114755652594;0
310;0.384984578380551;0
311;0.381771258026011;0
312;0.378577906050094;0
313;0.375702053141486;0
314;0.373194516145322;0
315;0.371060060872595;0
316;0.369259304730131;0
317;0.367714590859716;0
318;0.366501470296101;0
319;0.365570548548595;0
320;0.364729918600077;0
321;0.364022860664343;0
322;0.363245941111633;0
323;0.362270335268024;0
324;0.360922349642131;0
325;0.359212347102046;0
