"T";"S";"O"
0;3.5023005831486e-05;0
1;3.5023005831486e-05;0
2;3.5023005831486e-05;0
3;3.5023005831486e-05;0
4;3.5023005831486e-05;0
5;3.5023005831486e-05;0
6;3.5023005831486e-05;0
7;3.5023005831486e-05;0
8;3.5023005831486e-05;0
9;3.5023005831486e-05;0
10;3.5023005831486e-05;0
11;3.5023005831486e-05;0
12;3.5023005831486e-05;0
13;3.5023005831486e-05;0
14;3.5023005831486e-05;0
15;9.34527268595821e-05;0
16;9.34527268595821e-05;0
17;9.34527268595821e-05;0
18;9.34527268595821e-05;0
19;9.34527268595821e-05;0
20;9.34527268595821e-05;0
21;9.34527268595821e-05;0
22;9.34527268595821e-05;0
23;9.34527268595821e-05;0
24;9.34527268595821e-05;0
25;9.34527268595821e-05;0
26;9.34527268595821e-05;0
27;9.34527268595821e-05;0
28;9.34527268595821e-05;0
29;9.34527268595821e-05;0
30;9.34527268595821e-05;0
31;9.34527268595821e-05;0
32;9.34527268595821e-05;0
33;9.34527268595821e-05;0
34;9.34527268595821e-05;0
35;9.34527268595821e-05;0
36;9.34527268595821e-05;0
37;9.34527268595821e-05;0
38;9.34527268595821e-05;0
39;9.34527268595821e-05;0
40;9.34527268595821e-05;0
41;9.34527268595821e-05;0
42;9.34527268595821e-05;0
43;9.34527268595821e-05;0
44;9.34527268595821e-05;0
45;9.34527268595821e-05;0
46;9.34527268595821e-05;0
47;9.34527268595821e-05;0
48;9.34527268595821e-05;0
49;9.34527268595821e-05;0
50;9.34527268595821e-05;0
51;9.34527268595821e-05;0
52;9.34527268595821e-05;0
53;9.34527268595821e-05;0
54;9.34527268595821e-05;0
55;9.34527268595821e-05;0
56;9.34527268595821e-05;0
57;9.34527268595821e-05;0
58;9.34527268595821e-05;0
59;9.34527268595821e-05;0
60;9.34527268595821e-05;0
61;9.34527268595821e-05;0
62;9.34527268595821e-05;0
63;9.34527268595821e-05;0
64;9.34527268595821e-05;0
65;9.34527268595821e-05;0
66;9.34527268595821e-05;0
67;9.34527268595821e-05;0
68;9.34527268595821e-05;0
69;9.34527268595821e-05;0
70;9.34527268595821e-05;0
71;9.34527268595821e-05;0
72;9.34527268595821e-05;0
73;9.34527268595821e-05;0
74;9.34527268595821e-05;0
75;9.34527268595821e-05;0
76;9.34527268595821e-05;0
77;9.34527268595821e-05;0
78;9.34527268595821e-05;0
79;9.34527268595821e-05;0
80;9.34527268595821e-05;0
81;9.34527268595821e-05;0
82;9.34527268595821e-05;0
83;9.34527268595821e-05;0
84;9.34527268595821e-05;0
85;9.34527268595821e-05;0
86;9.34527268595821e-05;0
87;9.34527268595821e-05;0
88;9.34527268595821e-05;0
89;9.34527268595821e-05;0
90;9.34527268595821e-05;0
91;9.34527268595821e-05;0
92;9.34527268595821e-05;0
93;9.34527268595821e-05;0
94;9.34527268595821e-05;0
95;9.34527268595821e-05;0
96;9.34527268595821e-05;0
97;9.34527268595821e-05;0
98;9.34527268595821e-05;0
99;0.000100397439605226;0
100;0.00733867897735587;0
101;0.00736386530971671;0
102;0.00188651751032565;0
103;0.00372757070632603;0
104;0.0116064878697587;0
105;0.00509175114369958;0
106;0.00219004254514776;0
107;0.000917017950016436;0
108;0.000369420474840678;0
109;0.000140079133606562;0
110;0.0149106746103418;0
111;0.0074030954456384;0
112;0.00373149163027849;0
113;0.012998673278502;0
114;0.0102129498942255;0
115;0.00604638357053187;0
116;0.00395296161931982;0
117;0.0128809657736848;0
118;0.00447631710712283;0
119;0.00619003205259368;0
120;0.000136822946602342;0
121;0.0131779244719278;0
122;0.00579589560978274;0
123;0.00250132786068866;0
124;0.0084685880079145;0
125;0.00701917306671381;0
126;0.00168969078478135;0
127;0.0147978483139044;0
128;0.0143753383632669;0
129;0.00325946837924731;0
130;0.00708186843174977;0
131;0.00114871179813022;0
132;0.0177823021329867;0
133;0.019646663478935;0
134;0.0130493755363951;0
135;0.0179611277997819;0
136;0.0072823760101397;0
137;0.00279200742908208;0
138;0.0138910159203681;0
139;0.00027323774308709;0
140;0.00369994258248001;0
141;0.0185255223866044;0
142;0.0102595878028956;0
143;2.80176835166414e-05;0
144;0.0123260714488228;0
145;0.0049026586971073;0
146;0.0130412886307431;0
147;0.00801162369791369;0
148;0.00359030987290286;0
149;0.00559330266595248;0
150;0.00469563856661463;0
151;0.00329722603155531;0
152;0.00532279168258224;0
153;0.0012988360261409;0
154;0.010045942089789;0
155;0.00972114654118875;0
156;0.00720957438762937;0
